"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"001-create-accounts-table","strife","db/changelog/changes/001-create-accounts-table.xml","2026-08-17T19:54:27.935","1","EXECUTED","9:eea2daaa1645d6fa437fed5ba99d87b0","createTable tableName=accounts","","","4.33.0","()","","7010867100"
"002-create-providers-table","strife","db/changelog/changes/002-create-providers-table.xml","2026-08-17T19:54:27.94","2","EXECUTED","9:d6bd22d4d2dc4528e0f04d574c13ce25","createTable tableName=providers; addForeignKeyConstraint baseTableName=providers, constraintName=fk_providers_account, referencedTableName=accounts; addUniqueConstraint constraintName=uk_providers_type_user_id, tableName=providers; createIndex indexNam...",,"","4.33.0","()","","7010867100"
